Timestamp,Device Name,Source IP,Destination IP,Traffic Volume (MB/s),Latency (ms),Bandwidth Allocated (MB/s),Bandwidth Used (MB/s),Congestion Flag,Log Text,New_Flag,Date,total_avg_app_traffic,total_peak_app_traffic,total_logins,total_peak_user_usage,Event,Impact,Num_Config_Changes
2024-04-20 00:00:00,Router_A,192.168.1.119,192.168.2.124,69.93,21.29,100,67.77,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 00:00:00,Router_B,192.168.1.93,192.168.2.43,85.09,32.5,100,86.43,No,Normal operation,1,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 00:00:00,Router_C,192.168.1.30,192.168.2.91,58.72,33.06,100,63.01,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 01:00:00,Router_A,192.168.1.126,192.168.2.244,33.7,13.09,100,44.11,Yes,"High utilization, nearing bandwidth limit",0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 01:00:00,Router_B,192.168.1.187,192.168.2.109,12.83,48.98,100,11.17,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 01:00:00,Router_C,192.168.1.75,192.168.2.248,84.32,23.7,100,84.92,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 02:00:00,Router_A,192.168.1.77,192.168.2.51,52.47,53.55,100,50.07,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 02:00:00,Router_B,192.168.1.156,192.168.2.239,24.38,50.29,100,25.93,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 02:00:00,Router_C,192.168.1.72,192.168.2.19,60.87,41.02,100,59.99,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 03:00:00,Router_A,192.168.1.7,192.168.2.178,39.1,41.73,100,41.38,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 03:00:00,Router_B,192.168.1.39,192.168.2.116,41.52,47.77,100,53.29,Yes,"High utilization, nearing bandwidth limit",0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 03:00:00,Router_C,192.168.1.123,192.168.2.113,10.49,14.69,100,10.48,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 04:00:00,Router_A,192.168.1.110,192.168.2.180,21.07,21.54,100,34.63,Yes,"Congestion detected, high utilization",0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 04:00:00,Router_B,192.168.1.241,192.168.2.234,77.65,40.01,100,72.83,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 04:00:00,Router_C,192.168.1.214,192.168.2.170,80.85,51.75,100,76.21,No,Normal operation,1,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 05:00:00,Router_A,192.168.1.141,192.168.2.181,26.6,12.18,100,30.13,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 05:00:00,Router_B,192.168.1.119,192.168.2.35,71.1,43.01,100,72.39,No,Normal operation,0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 05:00:00,Router_C,192.168.1.200,192.168.2.168,18.54,22.92,100,35.65,Yes,"High utilization, nearing bandwidth limit",0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
2024-04-20 06:00:00,Router_A,192.168.1.148,192.168.2.187,54.82,29.95,100,68.42,Yes,"Congestion detected, high utilization",0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 06:00:00,Router_B,192.168.1.32,192.168.2.115,27.24,59.53,100,40.06,Yes,"High utilization, nearing bandwidth limit",0,2024-04-20,640.71,1380.4,9,44.98,None,None,1
2024-04-20 06:00:00,Router_C,192.168.1.135,192.168.2.133,30.12,52.79,100,34.56,Yes,"High utilization, nearing bandwidth limit",0,2024-04-20,640.71,1380.4,9,44.98,None,None,0
