Timestamp,Device Name,Source IP,Destination IP,Traffic Volume (MB/s),Latency (ms),Bandwidth Allocated (MB/s),Bandwidth Used (MB/s),Congestion Flag,Log Text
2024-04-20 00:00:00,Router_B,192.168.1.93,192.168.2.43,85.09,32.5,100,86.43,No,Normal operation
2024-04-20 01:00:00,Router_B,192.168.1.187,192.168.2.109,12.83,48.98,100,11.17,No,Normal operation
2024-04-20 02:00:00,Router_B,192.168.1.156,192.168.2.239,24.38,50.29,100,25.93,No,Normal operation
2024-04-20 03:00:00,Router_B,192.168.1.39,192.168.2.116,41.52,47.77,100,53.29,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 04:00:00,Router_B,192.168.1.241,192.168.2.234,77.65,40.01,100,72.83,No,Normal operation
2024-04-20 05:00:00,Router_B,192.168.1.119,192.168.2.35,71.1,43.01,100,72.39,No,Normal operation
2024-04-20 06:00:00,Router_B,192.168.1.32,192.168.2.115,27.24,59.53,100,40.06,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 07:00:00,Router_B,192.168.1.203,192.168.2.12,44.42,12.11,100,46.28,No,Normal operation
2024-04-20 08:00:00,Router_B,192.168.1.38,192.168.2.163,53.21,21.23,100,60.9,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 09:00:00,Router_B,192.168.1.232,192.168.2.1,92.8,52.28,100,92.93,No,Normal operation
2024-04-20 10:00:00,Router_B,192.168.1.128,192.168.2.175,65.92,24.52,100,61.74,No,Normal operation
2024-04-20 11:00:00,Router_B,192.168.1.86,192.168.2.18,97.38,15.02,100,100.0,No,Normal operation
2024-04-20 12:00:00,Router_B,192.168.1.53,192.168.2.248,25.43,43.75,100,23.22,No,Normal operation
2024-04-20 13:00:00,Router_B,192.168.1.26,192.168.2.207,75.94,35.99,100,78.59,No,Normal operation
2024-04-20 14:00:00,Router_B,192.168.1.162,192.168.2.164,19.72,20.59,100,18.79,No,Normal operation
2024-04-20 15:00:00,Router_B,192.168.1.84,192.168.2.164,95.61,39.93,100,100.0,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 16:00:00,Router_B,192.168.1.56,192.168.2.48,42.78,51.14,100,58.99,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 17:00:00,Router_B,192.168.1.49,192.168.2.229,46.52,15.13,100,44.69,No,Normal operation
2024-04-20 18:00:00,Router_B,192.168.1.187,192.168.2.6,29.65,44.45,100,28.39,No,Normal operation
