Timestamp,Device Name,Source IP,Destination IP,Traffic Volume (MB/s),Latency (ms),Bandwidth Allocated (MB/s),Bandwidth Used (MB/s),Congestion Flag,Log Text
2024-04-20 00:00:00,Router_C,192.168.1.30,192.168.2.91,58.72,33.06,100,63.01,No,Normal operation
2024-04-20 01:00:00,Router_C,192.168.1.75,192.168.2.248,84.32,23.7,100,84.92,No,Normal operation
2024-04-20 02:00:00,Router_C,192.168.1.72,192.168.2.19,60.87,41.02,100,59.99,No,Normal operation
2024-04-20 03:00:00,Router_C,192.168.1.123,192.168.2.113,10.49,14.69,100,10.48,No,Normal operation
2024-04-20 04:00:00,Router_C,192.168.1.214,192.168.2.170,80.85,51.75,100,76.21,No,Normal operation
2024-04-20 05:00:00,Router_C,192.168.1.200,192.168.2.168,18.54,22.92,100,35.65,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 06:00:00,Router_C,192.168.1.135,192.168.2.133,30.12,52.79,100,34.56,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 07:00:00,Router_C,192.168.1.94,192.168.2.209,98.03,11.32,100,100.0,Yes,"High utilization, nearing bandwidth limit"
2024-04-20 08:00:00,Router_C,192.168.1.18,192.168.2.128,20.36,56.61,100,23.66,No,Normal operation
2024-04-20 09:00:00,Router_C,192.168.1.168,192.168.2.202,43.18,30.36,100,46.78,No,Normal operation
2024-04-20 10:00:00,Router_C,192.168.1.209,192.168.2.238,69.26,59.0,100,103.5,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-20 11:00:00,Router_C,192.168.1.28,192.168.2.187,51.96,56.3,100,52.59,No,Normal operation
2024-04-20 12:00:00,Router_C,192.168.1.192,192.168.2.186,39.46,17.31,100,44.39,No,Normal operation
2024-04-20 13:00:00,Router_C,192.168.1.90,192.168.2.138,59.79,14.52,100,61.15,No,Normal operation
2024-04-20 14:00:00,Router_C,192.168.1.199,192.168.2.250,80.81,10.67,100,80.77,No,Normal operation
2024-04-20 15:00:00,Router_C,192.168.1.184,192.168.2.134,19.19,35.71,100,27.11,Yes,"High utilization, nearing bandwidth limit"
